Player Name,Image URL,Team
Liam Livingstone,https://documents.iplt20.com/ipl/IPLHeadshot2025/183.png,RCB
Krunal Pandya,https://documents.iplt20.com/ipl/IPLHeadshot2025/17.png,RCB
Shubham Dubey,https://documents.iplt20.com/ipl/IPLHeadshot2025/3112.png,RR
Rahul Tewatia,https://documents.iplt20.com/ipl/IPLHeadshot2025/120.png,GT
Pat Cummins,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png,SRH
Mayank Agarwal,https://documents.iplt20.com/ipl/IPLHeadshot2025/55.png,RCB
Manish Pandey,https://documents.iplt20.com/ipl/IPLHeadshot2025/16.png,KKR
Kamindu Mendis,https://documents.iplt20.com/ipl/IPLHeadshot2025/627.png,SRH
Jonny Bairstow,https://documents.iplt20.com/ipl/IPLHeadshot2025/216.png,MI
Marco Jansen,https://documents.iplt20.com/ipl/IPLHeadshot2025/586.png,PBKS
Rahmanullah Gurbaz,https://documents.iplt20.com/ipl/IPLHeadshot2025/641.png,KKR
Shaik Rasheed,https://documents.iplt20.com/ipl/IPLHeadshot2025/778.png,CSK
Romario Shepherd,https://documents.iplt20.com/ipl/IPLHeadshot2025/371.png,RCB
Urvil Patel,https://documents.iplt20.com/ipl/IPLHeadshot2025/1486.png,CSK
Jacob Bethell,https://documents.iplt20.com/ipl/IPLHeadshot2025/869.png,RCB
Jofra Archer,https://documents.iplt20.com/ipl/IPLHeadshot2025/181.png,RR
Abhinav Manohar,https://documents.iplt20.com/ipl/IPLHeadshot2025/974.png,SRH
Azmatullah Omarzai,https://documents.iplt20.com/ipl/IPLHeadshot2025/1354.png,PBKS
Harshit Rana,https://documents.iplt20.com/ipl/IPLHeadshot2025/1013.png,KKR
Jake Fraser - McGurk,https://documents.iplt20.com/ipl/IPLHeadshot2025/3115.png,DC
Rahul Tripathi,https://documents.iplt20.com/ipl/IPLHeadshot2025/188.png,CSK
Glenn Maxwell,https://documents.iplt20.com/ipl/IPLHeadshot2025/28.png,PBKS
Corbin Bosch,https://documents.iplt20.com/ipl/IPLHeadshot2025/1041.png,MI
